CFI_number,ICD10_code,description
23,I63542,Cereb infrc due to unsp occls or stenos of left cereblr art
23,I63543,Cereb infrc due to unsp occls or stenosis of bi cereblr art
23,I63549,Cereb infrc due to unsp occls or stenos of unsp cereblr art
23,I6359,Cereb infrc due to unsp occls or stenosis of cerebral artery
23,I636,C nonpyogenic
23,I638,Other cerebral infarction
23,I6381,Other cereb infrc due to occls or stenosis of small artery
23,I6389,Other cerebral infarction
23,I639,C unspecified
23,I65,Oc not rslt in cereb infrc
23,I650,Occlusion and stenosis of vertebral artery
23,I6501,Occlusion and stenosis of right vertebral artery
23,I6502,Occlusion and stenosis of left vertebral artery
23,I6503,Occlusion and stenosis of bilateral vertebral arteries
23,I6509,Occlusion and stenosis of unspecified vertebral artery
23,I651,Occlusion and stenosis of basilar artery
23,I652,Occlusion and stenosis of carotid artery
23,I6521,Occlusion and stenosis of right carotid artery
23,I6522,Occlusion and stenosis of left carotid artery
23,I6523,Occlusion and stenosis of bilateral carotid arteries
23,I6529,Occlusion and stenosis of unspecified carotid artery
23,I658,Occlusion and stenosis of other precerebral arteries
23,I659,Occlusion and stenosis of unspecified precerebral artery
23,I66,Oc not rslt in cerebral infrc
23,I660,Occlusion and stenosis of middle cerebral artery
23,I6601,Occlusion and stenosis of right middle cerebral artery
23,I6602,Occlusion and stenosis of left middle cerebral artery
23,I6603,Occlusion and stenosis of bilateral middle cerebral arteries
23,I6609,Occlusion and stenosis of unspecified middle cerebral artery
23,I661,Occlusion and stenosis of anterior cerebral artery
23,I6611,Occlusion and stenosis of right anterior cerebral artery
23,I6612,Occlusion and stenosis of left anterior cerebral artery
23,I6613,Occlusion and stenosis of bi anterior cerebral arteries
23,I6619,Occlusion and stenosis of unsp anterior cerebral artery
23,I662,Occlusion and stenosis of posterior cerebral artery
23,I6621,Occlusion and stenosis of right posterior cerebral artery
23,I6622,Occlusion and stenosis of left posterior cerebral artery
23,I6623,Occlusion and stenosis of bi posterior cerebral arteries
23,I6629,Occlusion and stenosis of unsp posterior cerebral artery
23,I663,Occlusion and stenosis of cerebellar arteries
23,I668,Occlusion and stenosis of other cerebral arteries
23,I669,Occlusion and stenosis of unspecified cerebral artery
23,I67,Other cerebrovascular diseases
23,I670,D nonruptured
23,I671,C nonruptured
23,I672,Cerebral atherosclerosis
23,I673,Progressive vascular leukoencephalopathy
23,I674,Hypertensive encephalopathy
23,I675,Moyamoya disease
23,I676,Nonpyogenic thrombosis of intracranial venous system
23,I677,C not elsewhere classified
23,I678,Other specified cerebrovascular diseases
23,I6781,Acute cerebrovascular insufficiency
23,I6782,Cerebral ischemia
23,I6783,Posterior reversible encephalopathy syndrome
23,I6784,Cerebral vasospasm and vasoconstriction
23,I67841,Reversible cerebrovascular vasoconstriction syndrome
23,I67848,Other cerebrovascular vasospasm and vasoconstriction
23,I6785,Hereditary cerebrovascular diseases
23,I67850,Cereb autosom dom artopath w subcort infarcts & leukoenceph
23,I67858,Other hereditary cerebrovascular disease
23,I6789,Other cerebrovascular disease
23,I679,C unspecified
23,I68,Cerebrovascular disorders in diseases classified elsewhere
23,I680,Cerebral amyloid angiopathy
23,I682,Cerebral arteritis in other diseases classified elsewhere
23,I688,Oth cerebrovascular disorders in diseases classd elswhr
23,I69,Sequelae of cerebrovascular disease
23,I690,Sequelae of nontraumatic subarachnoid hemorrhage
23,I6900,Unspecified sequelae of nontraumatic subarachnoid hemorrhage
23,I6901,Cognitive deficits following ntrm subarachnoid hemorrhage
23,I69010,Attn and concentration deficit following ntrm subarach hemor
23,I69011,Memory deficit following ntrm subarachnoid hemorrhage
23,I69012,Vis def/sptl nglct following ntrm subarachnoid hemorrhage
23,I69013,Psychomotor deficit following ntrm subarachnoid hemorrhage
23,I69014,Fntl lb and exec fcn def following ntrm subarach hemorrhage
23,I69015,Cognitive social or emo def following ntrm subarach hemor
23,I69018,Other symp and signs w cogn fnctns fol ntrm subarach hemor
23,I69019,Unsp symp and signs w cogn fnctns fol ntrm subarach hemor
23,I6902,Speech/lang deficits following ntrm subarachnoid hemorrhage
23,I69020,Aphasia following nontraumatic subarachnoid hemorrhage
23,I69021,Dysphasia following nontraumatic subarachnoid hemorrhage
23,I69022,Dysarthria following nontraumatic subarachnoid hemorrhage
23,I69023,Fluency disorder following ntrm subarachnoid hemorrhage
23,I69028,Oth speech/lang deficits following ntrm subarach hemorrhage
23,I6903,Monoplg upr lmb following ntrm subarachnoid hemorrhage
23,I69031,Monoplg upr lmb fol ntrm subarach hemor aff right dom side
23,I69032,Monoplg upr lmb fol ntrm subarach hemor aff left dom side
23,I69033,Monoplg upr lmb fol ntrm subarach hemor aff r nondom side
23,I69034,Monoplg upr lmb fol ntrm subarach hemor aff left nondom side
23,I69039,Monoplg upr lmb following ntrm subarach hemor aff unsp side
23,I6904,Monoplg low lmb following ntrm subarachnoid hemorrhage
23,I69041,Monoplg low lmb fol ntrm subarach hemor aff right dom side
23,I69042,Monoplg low lmb fol ntrm subarach hemor aff left dom side
23,I69043,Monoplg low lmb fol ntrm subarach hemor aff r nondom side
23,I69044,Monoplg low lmb fol ntrm subarach hemor aff left nondom side
23,I69049,Monoplg low lmb following ntrm subarach hemor aff unsp side
23,I6905,Hemiplga following nontraumatic subarachnoid hemorrhage
23,I69051,Hemiplga fol ntrm subarach hemor aff right dominant side
23,I69052,Hemiplga fol ntrm subarach hemor aff left dominant side
23,I69053,Hemiplga following ntrm subarach hemor aff right nondom side
23,I69054,Hemiplga following ntrm subarach hemor aff left nondom side
23,I69059,Hemiplga following ntrm subarach hemor affecting unsp side
23,I6906,Oth paralytic syndrome following ntrm subarach hemorrhage
23,I69061,Oth parlyt synd fol ntrm subarach hemor aff right dom side
23,I69062,Oth parlyt synd fol ntrm subarach hemor aff left dom side
23,I69063,Oth parlyt synd fol ntrm subarach hemor aff r nondom side
23,I69064,Oth parlyt synd fol ntrm subarach hemor aff left nondom side
23,I69065," bi"""
23,I69069,Oth paralytic syndrome fol ntrm subarach hemor aff unsp side
23,I6909,Other sequelae of nontraumatic subarachnoid hemorrhage
23,I69090,Apraxia following nontraumatic subarachnoid hemorrhage
23,I69091,Dysphagia following nontraumatic subarachnoid hemorrhage
23,I69092,Facial weakness following ntrm subarachnoid hemorrhage
23,I69093,Ataxia following nontraumatic subarachnoid hemorrhage
23,I69098,Oth sequelae following nontraumatic subarachnoid hemorrhage
23,I691,Sequelae of nontraumatic intracerebral hemorrhage
23,I6910,Unsp sequelae of nontraumatic intracerebral hemorrhage
23,I6911,Cognitive deficits following nontraumatic intcrbl hemorrhage
23,I69110,Attn and concentration deficit following ntrm intcrbl hemor
23,I69111,Memory deficit following nontraumatic intcrbl hemorrhage
23,I69112,Vis def/sptl nglct following nontraumatic intcrbl hemorrhage
23,I69113,Psychomotor deficit following ntrm intcrbl hemorrhage
23,I69114,Fntl lb and exec fcn def following ntrm intcrbl hemorrhage
23,I69115,Cognitive social or emo def following ntrm intcrbl hemor
23,I69118,Other symp and signs w cogn fnctns fol ntrm intcrbl hemor
23,I69119,Unsp symptoms and signs w cogn fnctns fol ntrm intcrbl hemor
23,I6912,Speech/lang deficits following ntrm intcrbl hemorrhage
23,I69120,Aphasia following nontraumatic intracerebral hemorrhage
23,I69121,Dysphasia following nontraumatic intracerebral hemorrhage
23,I69122,Dysarthria following nontraumatic intracerebral hemorrhage
23,I69123,Fluency disorder following nontraumatic intcrbl hemorrhage
23,I69128,Oth speech/lang deficits following ntrm intcrbl hemorrhage
23,I6913,Monoplg upr lmb following nontraumatic intcrbl hemorrhage
23,I69131,Monoplg upr lmb fol ntrm intcrbl hemor aff right dom side
23,I69132,Monoplg upr lmb fol ntrm intcrbl hemor aff left dom side
23,I69133,Monoplg upr lmb fol ntrm intcrbl hemor aff right nondom side
23,I69134,Monoplg upr lmb fol ntrm intcrbl hemor aff left nondom side
23,I69139,Monoplg upr lmb following ntrm intcrbl hemor aff unsp side
23,I6914,Monoplg low lmb following nontraumatic intcrbl hemorrhage
23,I69141,Monoplg low lmb fol ntrm intcrbl hemor aff right dom side
23,I69142,Monoplg low lmb fol ntrm intcrbl hemor aff left dom side
23,I69143,Monoplg low lmb fol ntrm intcrbl hemor aff right nondom side
23,I69144,Monoplg low lmb fol ntrm intcrbl hemor aff left nondom side
23,I69149,Monoplg low lmb following ntrm intcrbl hemor aff unsp side
23,I6915,Hemiplga following nontraumatic intracerebral hemorrhage
23,I69151,Hemiplga fol ntrm intcrbl hemor aff right dominant side
23,I69152,Hemiplga following ntrm intcrbl hemor aff left dominant side
23,I69153,Hemiplga following ntrm intcrbl hemor aff right nondom side
23,I69154,Hemiplga following ntrm intcrbl hemor aff left nondom side
23,I69159,Hemiplga following ntrm intcrbl hemor affecting unsp side
23,I6916,Oth paralytic syndrome following ntrm intcrbl hemorrhage
23,I69161,Oth parlyt synd fol ntrm intcrbl hemor aff right dom side
23,I69162,Oth parlyt syndrome fol ntrm intcrbl hemor aff left dom side
23,I69163,Oth parlyt synd fol ntrm intcrbl hemor aff right nondom side
23,I69164,Oth parlyt synd fol ntrm intcrbl hemor aff left nondom side
23,I69165," bi"""
23,I69169,Oth paralytic syndrome fol ntrm intcrbl hemor aff unsp side
23,I6919,Other sequelae of nontraumatic intracerebral hemorrhage
23,I69190,Apraxia following nontraumatic intracerebral hemorrhage
23,I69191,Dysphagia following nontraumatic intracerebral hemorrhage
23,I69192,Facial weakness following nontraumatic intcrbl hemorrhage
23,I69193,Ataxia following nontraumatic intracerebral hemorrhage
23,I69198,Other sequelae of nontraumatic intracerebral hemorrhage
23,I692,Sequelae of other nontraumatic intracranial hemorrhage
23,I6920,Unsp sequelae of other nontraumatic intracranial hemorrhage
23,I6921,Cognitive deficits following oth ntrm intcrn hemorrhage
23,I69210,Attn and concentration deficit fol other ntrm intcrn hemor
23,I69211,Memory deficit following other ntrm intcrn hemorrhage
23,I69212,Vis def/sptl nglct following other ntrm intcrn hemorrhage
23,I69213,Psychomotor deficit following other ntrm intcrn hemorrhage
23,I69214,Fntl lb and exec fcn def following other ntrm intcrn hemor
23,I69215,Cognitive social or emo def fol other ntrm intcrn hemor
23,I69218,Oth symp and signs w cogn fnctns fol other ntrm intcrn hemor
23,I69219,Unsp symp and signs w cogn fnctns fol oth ntrm intcrn hemor
23,I6922,Speech/lang deficits following oth ntrm intcrn hemorrhage
23,I69220,Aphasia following other nontraumatic intracranial hemorrhage
23,I69221,Dysphasia following oth nontraumatic intracranial hemorrhage
23,I69222,Dysarthria following oth nontraumatic intcrn hemorrhage
23,I69223,Fluency disorder following oth ntrm intcrn hemorrhage
23,I69228,Oth speech/lang deficits following oth ntrm intcrn hemor
23,I6923,Monoplg upr lmb following oth nontraumatic intcrn hemorrhage
23,I69231,Monoplg upr lmb fol oth ntrm intcrn hemor aff right dom side
23,I69232,Monoplg upr lmb fol oth ntrm intcrn hemor aff left dom side
23,I69233,Monoplg upr lmb fol oth ntrm intcrn hemor aff r nondom side
23,I69234,Monoplg upr lmb fol oth ntrm intcrn hemor aff l nondom side
23,I69239,Monoplg upr lmb fol oth ntrm intcrn hemor aff unsp side
23,I6924,Monoplg low lmb following oth nontraumatic intcrn hemorrhage
23,I69241,Monoplg low lmb fol oth ntrm intcrn hemor aff right dom side
23,I69242,Monoplg low lmb fol oth ntrm intcrn hemor aff left dom side
23,I69243,Monoplg low lmb fol oth ntrm intcrn hemor aff r nondom side
23,I69244,Monoplg low lmb fol oth ntrm intcrn hemor aff l nondom side
23,I69249,Monoplg low lmb fol oth ntrm intcrn hemor aff unsp side
23,I6925,Hemiplga following oth nontraumatic intracranial hemorrhage
23,I69251,Hemiplga fol oth ntrm intcrn hemor aff right dominant side
23,I69252,Hemiplga fol oth ntrm intcrn hemor aff left dominant side
23,I69253,Hemiplga fol oth ntrm intcrn hemor aff right nondom side
23,I69254,Hemiplga fol oth ntrm intcrn hemor aff left nondom side
23,I69259,Hemiplga following oth ntrm intcrn hemor affecting unsp side
23,I6926,Oth paralytic syndrome following oth ntrm intcrn hemorrhage
23,I69261,Oth parlyt synd fol oth ntrm intcrn hemor aff right dom side
23,I69262,Oth parlyt synd fol oth ntrm intcrn hemor aff left dom side
23,I69263,Oth parlyt synd fol oth ntrm intcrn hemor aff r nondom side
23,I69264,Oth parlyt synd fol oth ntrm intcrn hemor aff l nondom side
23,I69265," bi"""
23,I69269,Oth parlyt syndrome fol oth ntrm intcrn hemor aff unsp side
23,I6929,Other sequelae of other nontraumatic intracranial hemorrhage
23,I69290,Apraxia following other nontraumatic intracranial hemorrhage
23,I69291,Dysphagia following oth nontraumatic intracranial hemorrhage
23,I69292,Facial weakness following oth nontraumatic intcrn hemorrhage
23,I69293,Ataxia following other nontraumatic intracranial hemorrhage
23,I69298,Other sequelae of other nontraumatic intracranial hemorrhage
23,I693,Sequelae of cerebral infarction
23,I6930,Unspecified sequelae of cerebral infarction
23,I6931,Cognitive deficits following cerebral infarction
23,I69310,Attention and concentration deficit following cerebral infrc
23,I69311,Memory deficit following cerebral infarction
23,I69312,Vis def/sptl nglct following cerebral infarction
23,I69313,Psychomotor deficit following cerebral infarction
23,I69314,Frontal lobe and exec fcn def following cerebral infarction
23,I69315,Cognitive social or emo def following cerebral infarction
23,I69318,Other symptoms and signs w cogn fnctns fol cerebral infrc
23,I69319,Unsp symptoms and signs w cogn fnctns fol cerebral infrc
23,I6932,Speech and language deficits following cerebral infarction
23,I69320,Aphasia following cerebral infarction
23,I69321,Dysphasia following cerebral infarction
23,I69322,Dysarthria following cerebral infarction
23,I69323,Fluency disorder following cerebral infarction
23,I69328,Oth speech/lang deficits following cerebral infarction
23,I6933,Monoplegia of upper limb following cerebral infarction
23,I69331,Monoplg upr lmb fol cerebral infrc aff right dominant side
23,I69332,Monoplg upr lmb fol cerebral infrc aff left dominant side
23,I69333,Monoplg upr lmb fol cerebral infrc aff right nondom side
23,I69334,Monoplg upr lmb fol cerebral infrc aff left nondom side
23,I69339,Monoplg upr lmb following cerebral infrc affecting unsp side
23,I6934,Monoplegia of lower limb following cerebral infarction
23,I69341,Monoplg low lmb fol cerebral infrc aff right dominant side
23,I69342,Monoplg low lmb fol cerebral infrc aff left dominant side
23,I69343,Monoplg low lmb fol cerebral infrc aff right nondom side
23,I69344,Monoplg low lmb fol cerebral infrc aff left nondom side
23,I69349,Monoplg low lmb following cerebral infrc affecting unsp side
23,I6935,Hemiplegia and hemiparesis following cerebral infarction
23,I69351,Hemiplga following cerebral infrc aff right dominant side
23,I69352,Hemiplga following cerebral infrc aff left dominant side
23,I69353,Hemiplga following cerebral infrc aff right nondom side
23,I69354,Hemiplga following cerebral infrc affecting left nondom side
23,I69359,Hemiplga following cerebral infarction affecting unsp side
23,I6936,Other paralytic syndrome following cerebral infarction
23,I69361,Oth parlyt syndrome fol cereb infrc aff right dominant side
23,I69362,Oth parlyt syndrome fol cereb infrc aff left dominant side
23,I69363,Oth parlyt syndrome fol cerebral infrc aff right nondom side
23,I69364,Oth parlyt syndrome fol cerebral infrc aff left nondom side
23,I69365," bilateral"""
23,I69369,Oth paralytic syndrome fol cerebral infrc aff unsp side
23,I6939,Other sequelae of cerebral infarction
23,I69390,Apraxia following cerebral infarction
23,I69391,Dysphagia following cerebral infarction
23,I69392,Facial weakness following cerebral infarction
23,I69393,Ataxia following cerebral infarction
23,I69398,Other sequelae of cerebral infarction
23,I698,Sequelae of other cerebrovascular diseases
23,I6980,Unspecified sequelae of other cerebrovascular disease
23,I6981,Cognitive deficits following other cerebrovascular disease
23,I69810,Attn and concentration deficit fol other cerebvasc disease
23,I69811,Memory deficit following other cerebrovascular disease
23,I69812,Vis def/sptl nglct following other cerebrovascular disease
23,I69813,Psychomotor deficit following other cerebrovascular disease
23,I69814,Fntl lb and exec fcn def following other cerebvasc disease
23,I69815,Cognitive social or emo def fol other cerebvasc disease
23,I69818,Other symp and signs w cogn fnctns fol other cerebvasc dis
23,I69819,Unsp symp and signs w cogn fnctns fol other cerebvasc dis
23,I6982,Speech/lang deficits following oth cerebrovascular disease
23,I69820,Aphasia following other cerebrovascular disease
23,I69821,Dysphasia following other cerebrovascular disease
23,I69822,Dysarthria following other cerebrovascular disease
23,I69823,Fluency disorder following other cerebrovascular disease
23,I69828,Oth speech/lang deficits following oth cerebvasc disease
23,I6983,Monoplg upr lmb following oth cerebrovascular disease
23,I69831,Monoplg upr lmb fol oth cerebvasc disease aff right dom side
23,I69832,Monoplg upr lmb fol oth cerebvasc disease aff left dom side
23,I69833,Monoplg upr lmb fol oth cerebvasc dis aff right nondom side
23,I69834,Monoplg upr lmb fol oth cerebvasc dis aff left nondom side
23,I69839,Monoplg upr lmb fol oth cerebvasc disease aff unsp side
23,I6984,Monoplg low lmb following oth cerebrovascular disease
23,I69841,Monoplg low lmb fol oth cerebvasc disease aff right dom side
23,I69842,Monoplg low lmb fol oth cerebvasc disease aff left dom side
23,I69843,Monoplg low lmb fol oth cerebvasc dis aff right nondom side
23,I69844,Monoplg low lmb fol oth cerebvasc dis aff left nondom side
23,I69849,Monoplg low lmb fol oth cerebvasc disease aff unsp side
23,I6985,Hemiplga following oth cerebrovascular disease
23,I69851,Hemiplga fol oth cerebvasc disease aff right dominant side
23,I69852,Hemiplga fol oth cerebvasc disease aff left dominant side
23,I69853,Hemiplga fol oth cerebvasc disease aff right nondom side
23,I69854,Hemiplga fol oth cerebvasc disease aff left nondom side
23,I69859,Hemiplga following oth cerebvasc disease affecting unsp side
23,I6986,Oth paralytic syndrome following oth cerebrovascular disease
23,I69861,Oth parlyt synd fol oth cerebvasc disease aff right dom side
23,I69862,Oth parlyt synd fol oth cerebvasc disease aff left dom side
23,I69863,Oth parlyt synd fol oth cerebvasc dis aff right nondom side
23,I69864,Oth parlyt synd fol oth cerebvasc dis aff left nondom side
23,I69865," bi"""
23,I69869,Oth parlyt syndrome fol oth cerebvasc disease aff unsp side
23,I6989,Other sequelae of other cerebrovascular disease
23,I69890,Apraxia following other cerebrovascular disease
23,I69891,Dysphagia following other cerebrovascular disease
23,I69892,Facial weakness following other cerebrovascular disease
23,I69893,Ataxia following other cerebrovascular disease
23,I69898,Other sequelae of other cerebrovascular disease
23,I699,Sequelae of unspecified cerebrovascular diseases
23,I6990,Unspecified sequelae of unspecified cerebrovascular disease
23,I6991,Cognitive deficits following unsp cerebrovascular disease
23,I69910,Attn and concentration deficit fol unsp cerebvasc disease
23,I69911,Memory deficit following unspecified cerebrovascular disease
23,I69912,Vis def/sptl nglct following unspecified cerebvasc disease
23,I69913,Psychomotor deficit following unspecified cerebvasc disease
23,I69914,Fntl lb and exec fcn def following unsp cerebvasc disease
23,I69915,Cognitive social or emo def following unsp cerebvasc disease
23,I69918,Other symp and signs w cogn fnctns fol unsp cerebvasc dis
23,I69919,Unsp symp and signs w cogn fnctns fol unsp cerebvasc disease
23,I6992,Speech/lang deficits following unsp cerebrovascular disease
23,I69920,Aphasia following unspecified cerebrovascular disease
23,I69921,Dysphasia following unspecified cerebrovascular disease
23,I69922,Dysarthria following unspecified cerebrovascular disease
23,I69923,Fluency disorder following unsp cerebrovascular disease
23,I69928,Oth speech/lang deficits following unsp cerebvasc disease
23,I6993,Monoplg upr lmb following unsp cerebrovascular disease
23,I69931,Monoplg upr lmb fol unsp cerebvasc dis aff right dom side
23,I69932,Monoplg upr lmb fol unsp cerebvasc disease aff left dom side
23,I69933,Monoplg upr lmb fol unsp cerebvasc dis aff right nondom side
23,I69934,Monoplg upr lmb fol unsp cerebvasc dis aff left nondom side
23,I69939,Monoplg upr lmb fol unsp cerebvasc disease aff unsp side
23,I6994,Monoplg low lmb following unsp cerebrovascular disease
23,I69941,Monoplg low lmb fol unsp cerebvasc dis aff right dom side
23,I69942,Monoplg low lmb fol unsp cerebvasc disease aff left dom side
23,I69943,Monoplg low lmb fol unsp cerebvasc dis aff right nondom side
23,I69944,Monoplg low lmb fol unsp cerebvasc dis aff left nondom side
23,I69949,Monoplg low lmb fol unsp cerebvasc disease aff unsp side
23,I6995,Hemiplga following unsp cerebrovascular disease
23,I69951,Hemiplga fol unsp cerebvasc disease aff right dominant side
23,I69952,Hemiplga fol unsp cerebvasc disease aff left dominant side
23,I69953,Hemiplga fol unsp cerebvasc disease aff right nondom side
23,I69954,Hemiplga fol unsp cerebvasc disease aff left nondom side
23,I69959,Hemiplga following unsp cerebvasc disease aff unsp side
23,I6996,Oth paralytic syndrome following unsp cerebvasc disease
23,I69961,Oth parlyt synd fol unsp cerebvasc dis aff right dom side
23,I69962,Oth parlyt synd fol unsp cerebvasc disease aff left dom side
23,I69963,Oth parlyt synd fol unsp cerebvasc dis aff right nondom side
23,I69964,Oth parlyt synd fol unsp cerebvasc dis aff left nondom side
23,I69965," bi"""
23,I69969,Oth parlyt syndrome fol unsp cerebvasc disease aff unsp side
23,I6999,Other sequelae of unspecified cerebrovascular disease
23,I69990,Apraxia following unspecified cerebrovascular disease
23,I69991,Dysphagia following unspecified cerebrovascular disease
23,I69992,Facial weakness following unsp cerebrovascular disease
23,I69993,Ataxia following unspecified cerebrovascular disease
23,I69998,Other sequelae following unspecified cerebrovascular disease
24,I70,Atherosclerosis
24,I700,Atherosclerosis of aorta
24,I701,Atherosclerosis of renal artery
24,I702,Atherosclerosis of native arteries of the extremities
24,I7020,Unsp atherosclerosis of native arteries of extremities
24,I70201," right leg"""
24,I70202," left leg"""
24,I70203," bilateral legs"""
24,I70208," oth extremity"""
24,I70209," unsp extremity"""
24,I7021,Athscl native arteries of extremities w intermittent claud
24,I70211," right leg"""
24,I70212," left leg"""
24,I70213," bi legs"""
24,I70218," oth extrm"""
24,I70219," unsp extrm"""
24,I7022,Athscl native arteries of extremities w rest pain
24,I70221," right leg"""
24,I70222," left leg"""
24,I70223," bilateral legs"""
24,I70228," oth extremity"""
24,I70229," unsp extremity"""
24,I7023,Atherosclerosis of native arteries of right leg w ulceration
24,I70231,Athscl native arteries of right leg w ulceration of thigh
24,I70232,Athscl native arteries of right leg w ulceration of calf
24,I70233,Athscl native arteries of right leg w ulceration of ankle
24,I70234,Athscl native art of right leg w ulcer of heel and midfoot
24,I70235,Athscl native arteries of right leg w ulcer oth prt foot
24,I70238,Athscl native art of right leg with ulcer oth prt low leg
24,I70239,Athscl native arteries of right leg w ulcer of unsp site
24,I7024,Atherosclerosis of native arteries of left leg w ulceration
24,I70241,Athscl native arteries of left leg w ulceration of thigh
24,I70242,Athscl native arteries of left leg w ulceration of calf
24,I70243,Athscl native arteries of left leg w ulceration of ankle
24,I70244,Athscl native art of left leg w ulcer of heel and midfoot
24,I70245,Athscl native arteries of left leg w ulceration oth prt foot
24,I70248,Athscl native art of left leg with ulcer oth prt low leg
24,I70249,Athscl native arteries of left leg w ulceration of unsp site
24,I7025,Athscl native arteries of extremities w ulceration
24,I7026,Atherosclerosis of native arteries of extremities w gangrene
24,I70261," right leg"""
24,I70262," left leg"""
24,I70263," bilateral legs"""
24,I70268," oth extremity"""
24,I70269," unsp extremity"""
24,I7029,Other atherosclerosis of native arteries of extremities
24,I70291," right leg"""
24,I70292," left leg"""
24,I70293," bilateral legs"""
24,I70298," oth extremity"""
24,I70299," unsp extremity"""
24,I703,Athscl unsp type bypass graft(s) of the extremities
24,I7030,Unsp athscl unsp type bypass graft(s) of the extremities
24,I70301," right leg"""
24,I70302," left leg"""
24,I70303," bilateral legs"""
24,I70308," oth extremity"""
24,I70309," unsp extremity"""
24,I7031,Athscl unsp type bypass of the extremities w intrmt claud
24,I70311," right leg"""
24,I70312," left leg"""
24,I70313," bi legs"""
24,I70318," oth extrm"""
24,I70319," unsp extrm"""
24,I7032,Athscl unsp type bypass of the extremities w rest pain
24,I70321," right leg"""
24,I70322," left leg"""
24,I70323," bi legs"""
24,I70328," oth extrm"""
24,I70329," unsp extrm"""
24,I7033,Athscl unsp type bypass of the right leg w ulceration
24,I70331,Athscl unsp type bypass of the right leg w ulcer of thigh
24,I70332,Athscl unsp type bypass of the right leg w ulcer of calf
24,I70333,Athscl unsp type bypass of the right leg w ulcer of ankle
24,I70334,Athscl unsp type bypass of r leg w ulcer of heel and midft
24,I70335,Athscl unsp type bypass of right leg w ulcer oth prt foot
24,I70338,Athscl unsp type bypass of right leg w ulcer oth prt low leg
24,I70339,Athscl unsp type bypass of right leg w ulcer of unsp site
24,I7034,Athscl unsp type bypass of the left leg w ulceration
24,I70341,Athscl unsp type bypass of the left leg w ulcer of thigh
24,I70342,Athscl unsp type bypass of the left leg w ulceration of calf
24,I70343,Athscl unsp type bypass of the left leg w ulcer of ankle
24,I70344,Athscl unsp type bypass of left leg w ulc of heel and midft
24,I70345,Athscl unsp type bypass of the left leg w ulcer oth prt foot
24,I70348,Athscl unsp type bypass of left leg w ulcer oth prt low leg
24,I70349,Athscl unsp type bypass of the left leg w ulcer of unsp site
24,I7035,Athscl unsp type bypass graft(s) of extremity w ulceration
24,I7036,Athscl unsp type bypass of the extremities w gangrene
24,I70361," right leg"""
24,I70362," left leg"""
24,I70363," bi legs"""
24,I70368," oth extrm"""
24,I70369," unsp extrm"""
24,I7039,Oth athscl unsp type bypass graft(s) of the extremities
24,I70391," right leg"""
24,I70392," left leg"""
24,I70393," bilateral legs"""
24,I70398," oth extremity"""
24,I70399," unsp extremity"""
24,I704,Athscl autologous vein bypass graft(s) of the extremities
24,I7040,Unsp athscl autologous vein bypass of the extremities
24,I70401," right leg"""
24,I70402," left leg"""
24,I70403," bilateral legs"""
24,I70408," oth extremity"""
24,I70409," unsp extremity"""
24,I7041,Athscl autologous vein bypass of the extrm w intrmt claud
24,I70411," right leg"""
24,I70412," left leg"""
24,I70413," bi legs"""
24,I70418," oth extrm"""
24,I70419," unsp extrm"""
24,I7042,Athscl autologous vein bypass of the extremities w rest pain
24,I70421," right leg"""
24,I70422," left leg"""
24,I70423," bi legs"""
24,I70428," oth extrm"""
24,I70429," unsp extrm"""
24,I7043,Athscl autologous vein bypass of the right leg w ulceration
24,I70431,Athscl autol vein bypass of the right leg w ulcer of thigh
24,I70432,Athscl autol vein bypass of the right leg w ulcer of calf
24,I70433,Athscl autol vein bypass of the right leg w ulcer of ankle
24,I70434,Athscl autol vein bypass of r leg w ulcer of heel and midft
24,I70435,Athscl autol vein bypass of right leg w ulcer oth prt foot
24,I70438,Athscl autol vein bypass of r leg w ulcer oth prt low leg
24,I70439,Athscl autol vein bypass of right leg w ulcer of unsp site
24,I7044,Athscl autologous vein bypass of the left leg w ulceration
24,I70441,Athscl autol vein bypass of the left leg w ulcer of thigh
24,I70442,Athscl autol vein bypass of the left leg w ulcer of calf
24,I70443,Athscl autol vein bypass of the left leg w ulcer of ankle
24,I70444,Athscl autol vein bypass of left leg w ulc of heel and midft
24,I70445,Athscl autol vein bypass of left leg w ulcer oth prt foot
24,I70448,Athscl autol vein bypass of left leg w ulcer oth prt low leg
24,I70449,Athscl autol vein bypass of left leg w ulcer of unsp site
24,I7045,Athscl autologous vein bypass of extremity w ulceration
24,I7046,Athscl autologous vein bypass of the extremities w gangrene
24,I70461," right leg"""
24,I70462," left leg"""
24,I70463," bi legs"""
24,I70468," oth extrm"""
24,I70469," unsp extrm"""
24,I7049,Oth athscl autologous vein bypass of the extremities
24,I70491," right leg"""
24,I70492," left leg"""
24,I70493," bilateral legs"""
24,I70498," oth extremity"""
24,I70499," unsp extremity"""
24,I705,Athscl nonautologous bio bypass graft(s) of the extremities
24,I7050,Unsp athscl nonautologous bio bypass of the extremities
24,I70501," right leg"""
24,I70502," left leg"""
24,I70503," bilateral legs"""
24,I70508," oth extremity"""
24,I70509," unsp extremity"""
24,I7051,Athscl nonaut bio bypass of the extremities intrmt claud
24,I70511," right leg"""
24,I70512," left leg"""
24,I70513," bi legs"""
24,I70518," oth extrm"""
24,I70519," unsp extrm"""
